"Local", "undefined"
"São Lourenço da Serra", 0.728
"São Luiz do Paraitinga", 0.697
"São Manuel", 0.744
"São Miguel Arcanjo", 0.710
"São Paulo", 0.805
"São Pedro", 0.755
"São Pedro do Turvo", 0.703
"São Roque", 0.768
"São Sebastião", 0.772
"São Sebastião da Grama", 0.701
"São Simão", 0.766
"São Vicente", 0.768
"Sarapuí", 0.707
"Sarutaiá", 0.688
"Sebastianópolis do Sul", 0.773
"Serra Azul", 0.686
"Serrana", 0.729
"Serra Negra", 0.767
"Sertãozinho", 0.761
"Sete Barras", 0.673
"Severínia", 0.715
"Silveiras", 0.678
"Socorro", 0.729
"Sorocaba", 0.798
"Sud Mennucci", 0.747
"Sumaré", 0.762
"Suzano", 0.765
"Suzanápolis", 0.699
"Tabapuã", 0.735
"Tabatinga", 0.704
"Taboão da Serra", 0.769
"Taciba", 0.723
"Taguaí", 0.709
"Taiaçu", 0.710
"Taiúva", 0.760
"Tambaú", 0.731
"Tanabi", 0.748
"Tapiraí", 0.681
"Tapiratiba", 0.751
"Taquaral", 0.759
"Taquaritinga", 0.748
"Taquarituba", 0.701
"Taquarivaí", 0.679
"Tarabai", 0.726
"Tarumã", 0.753
"Tatuí", 0.752
"Taubaté", 0.800
"Tejupá", 0.668
"Teodoro Sampaio", 0.741
"Terra Roxa", 0.749
"Tietê", 0.778
"Timburi", 0.710
"Torre de Pedra", 0.714
"Torrinha", 0.744
"Trabiju", 0.722
"Tremembé", 0.785
"Três Fronteiras", 0.753
"Tuiuti", 0.728
"Tupã", 0.771
"Tupi Paulista", 0.769
"Turiúba", 0.751
"Turmalina", 0.736
"Ubarana", 0.700
"Ubatuba", 0.751
"Ubirajara", 0.727
"Uchoa", 0.721
"União Paulista", 0.749
"Urânia", 0.746
"Uru", 0.712
"Urupês", 0.745
"Valentim Gentil", 0.735
"Valinhos", 0.819
"Valparaíso", 0.725
"Vargem", 0.699
"Vargem Grande do Sul", 0.737
"Vargem Grande Paulista", 0.770
"Várzea Paulista", 0.759
"Vera Cruz", 0.754
"Vinhedo", 0.817
"Viradouro", 0.739
"Vista Alegre do Alto", 0.744
"Vitória Brasil", 0.725
"Votorantim", 0.767
"Votuporanga", 0.790
"Zacarias", 0.729
"Chavantes", 0.729
"Estiva Gerbi", 0.740
