"Local", "undefined"
"Lucélia", 20730.58
"Lucianópolis", 22522.67
"Luís Antônio", 95950.07
"Luiziânia", 13100.64
"Lupércio", 17461.98
"Lutécia", 28326.26
"Macatuba", 38318.62
"Macaubal", 20995.02
"Macedônia", 20358.41
"Magda", 30692.94
"Mairinque", 41484.64
"Mairiporã", 18259.93
"Manduri", 23253.95
"Marabá Paulista", 17954.08
"Maracaí", 30097.28
"Marapoama", 75593.84
"Mariápolis", 14408.36
"Marília", 35157.98
"Marinópolis", 17858.26
"Martinópolis", 19426.81
"Matão", 47632.45
"Mauá", 34433.94
"Mendonça", 42031.58
"Meridiano", 82769.23
"Mesópolis", 31916.38
"Miguelópolis", 37666.41
"Mineiros do Tietê", 13685.05
"Miracatu", 20967.45
"Mira Estrela", 21836.83
"Mirandópolis", 22060.77
"Mirante do Paranapanema", 24034.56
"Mirassol", 32425.39
"Mirassolândia", 35936.22
"Mococa", 32611.52
"Mogi das Cruzes", 36538.23
"Mogi Guaçu", 37986.49
"Mogi Mirim", 52101.03
"Mombuca", 28439.28
"Monções", 26013.40
"Mongaguá", 19747.58
"Monte Alegre do Sul", 24046.19
"Monte Alto", 39822.17
"Monte Aprazível", 26845.57
"Monte Azul Paulista", 29753.61
"Monte Castelo", 23955.42
"Monteiro Lobato", 14048.12
"Monte Mor", 58576.16
"Morro Agudo", 32924.12
"Morungaba", 37336.58
"Motuca", 18489.22
"Murutinga do Sul", 16112.33
"Nantes", 35361.60
"Narandiba", 37208.39
"Natividade da Serra", 11040.47
"Nazaré Paulista", 19721.42
"Neves Paulista", 25716.71
"Nhandeara", 28647.14
"Nipoã", 17238.93
"Nova Aliança", 24189.93
"Nova Campina", 12966.49
"Nova Canaã Paulista", 20435.07
"Nova Castilho", 36332.03
"Nova Europa", 24726.06
"Nova Granada", 20237.87
"Nova Guataporanga", 14342.16
"Nova Independência", 36073.33
"Novais", 11130.33
"Nova Luzitânia", 11273.74
"Nova Odessa", 64699.62
"Novo Horizonte", 29217.76
"Nuporanga", 72118.89
"Ocauçu", 25535.57
"Óleo", 37661.62
"Olímpia", 38588.17
"Onda Verde", 39032.88
"Oriente", 15529.76
"Orindiúva", 60793.87
"Orlândia", 43238.66
"Osasco", 117277.05
"Oscar Bressane", 36242.43
"Osvaldo Cruz", 27325.32
"Ourinhos", 29148.14
"Ouroeste", 41975.39
"Ouro Verde", 13574.46
"Pacaembu", 20009.27
"Palestina", 28054.09
"Palmares Paulista", 9248.87
"Palmeira d'Oeste", 19961.18
"Palmital", 31599.86
"Panorama", 17417.26
"Paraguaçu Paulista", 33959.00
"Paraibuna", 16376.72
"Paraíso", 35397.99
"Paranapanema", 37738.46
"Paranapuã", 31889.02
"Parapuã", 48164.29
"Pardinho", 47069.25
"Pariquera-Açu", 27114.33
"Parisi", 46319.99
"Patrocínio Paulista", 67617.80
"Paulicéia", 21830.32
"Paulínia", 341479.94
"Paulistânia", 19681.46
"Paulo de Faria", 24574.10
"Pederneiras", 45721.51
"Pedra Bela", 15212.39
"Pedranópolis", 25190.57
"Pedregulho", 64285.31
"Pedreira", 27495.01
"Pedrinhas Paulista", 43424.60
"Pedro de Toledo", 13527.82
"Penápolis", 25445.83
"Pereira Barreto", 30099.62
"Pereiras", 27892.39
"Peruíbe", 24346.10
"Piacatu", 16074.18
"Piedade", 23431.11
"Pilar do Sul", 25607.72
"Pindamonhangaba", 50341.04
"Pindorama", 21931.90
"Pinhalzinho", 18219.15
"Piquerobi", 15579.69
"Piquete", 12117.24
"Piracaia", 19913.00
"Piracicaba", 68974.97
"Piraju", 26166.20
"Pirajuí", 18837.61
"Pirangi", 26806.44
"Pirapora do Bom Jesus", 27828.83
"Pirapozinho", 32128.40
"Pirassununga", 37569.52
"Piratininga", 17712.44
"Pitangueiras", 28249.81
"Planalto", 29720.91
"Platina", 27001.09
"Poá", 38164.61
"Poloni", 21151.04
"Pompéia", 59438.14
"Pongaí", 21525.98
"Pontal", 22257.23
"Pontalinda", 16751.80
"Pontes Gestal", 33463.69
"Populina", 23398.57
"Porangaba", 19038.18
"Porto Feliz", 56451.89
"Porto Ferreira", 39215.29
"Potim", 9596.46
"Potirendaba", 29076.22
"Pracinha", 8019.58
"Pradópolis", 37424.20
"Praia Grande", 23440.44
"Pratânia", 22246.98
"Presidente Alves", 18210.95
"Presidente Bernardes", 24202.83
"Presidente Epitácio", 20190.06
"Presidente Prudente", 36702.01
"Presidente Venceslau", 19425.18
"Promissão", 35887.44
"Quadra", 29777.26
"Quatá", 46586.78
"Queiroz", 210892.85
"Queluz", 26300.34
"Quintana", 28028.77
"Rafard", 35994.65
"Rancharia", 36280.29
"Redenção da Serra", 14282.94
"Regente Feijó", 38440.25
"Reginópolis", 15236.80
"Registro", 37220.26
"Restinga", 23350.46
"Ribeira", 14878.69
"Ribeirão Bonito", 23043.61
"Ribeirão Branco", 18612.14
"Ribeirão Corrente", 31091.80
"Ribeirão do Sul", 35263.61
"Ribeirão dos Índios", 17481.57
"Ribeirão Grande", 25503.36
"Ribeirão Pires", 25536.00
"Ribeirão Preto", 50397.96
"Riversul", 12356.56
"Rifaina", 36193.55
"Rincão", 17835.27
"Rinópolis", 30538.63
"Rio Claro", 50961.73
"Rio das Pedras", 39098.57
"Rio Grande da Serra", 15263.25
"Riolândia", 17605.59
"Rosana", 90615.68
"Roseira", 29031.17
"Rubiácea", 21054.43
"Rubinéia", 26771.20
"Sabino", 20719.74
"Sagres", 15972.69
"Sales", 22538.37
"Sales Oliveira", 30638.65
"Salesópolis", 12341.24
"Salmourão", 15136.79
"Saltinho", 29446.34
"Salto", 65698.72
"Salto de Pirapora", 42692.71
"Salto Grande", 24074.71
"Sandovalina", 88016.63
"Santa Adélia", 21207.85
"Santa Albertina", 29360.50
"Santa Bárbara d'Oeste", 32168.40
"Santa Branca", 17870.44
"Santa Clara d'Oeste", 38452.69
"Santa Cruz da Conceição", 29265.82
"Santa Cruz da Esperança", 25099.49
"Santa Cruz das Palmeiras", 15719.31
"Santa Cruz do Rio Pardo", 42020.79
"Santa Ernestina", 18258.81
"Santa Fé do Sul", 37159.31
"Santa Gertrudes", 75238.46
"Santa Isabel", 26185.40
"Santa Lúcia", 13228.29
"Santa Maria da Serra", 21040.09
"Santa Mercedes", 18888.27
"Santana da Ponte Pensa", 23275.66
"Santana de Parnaíba", 67949.68
"Santa Rita d'Oeste", 24949.10
"Santa Rita do Passa Quatro", 25058.05
"Santa Rosa de Viterbo", 25998.41
"Santa Salete", 22003.08
"Santo Anastácio", 20731.44
"Santo André", 42178.31
"Santo Antônio da Alegria", 22247.96
"Santo Antônio de Posse", 52842.93
"Santo Antônio do Aracanguá", 25459.05
"Santo Antônio do Jardim", 29052.91
"Santo Antônio do Pinhal", 17574.27
"Santo Expedito", 12545.03
"Santópolis do Aguapeí", 14189.65
"Santos", 52504.02
"São Bento do Sapucaí", 19638.63
"São Bernardo do Campo", 60804.99
"São Caetano do Sul", 84754.93
"São Carlos", 46873.25
"São Francisco", 16178.37
